"clade","family","genus","species","ea","ln_a","Tcrit"
"angiosperm","Menyanthaceae","Menyanthes","Menyanthes_trifoliata",390.0424992,143.7536908,45.674
"angiosperm","Montiaceae","Lewisia","Lewisia_cotyledon",306.6325969,110.7300141,49.707
"angiosperm","Myricaceae","Morella","Morella_californica",456.5943248,165.5443767,49.81
"angiosperm","Myrtaceae","Eucalyptus","Eucalyptus_coccifera",618.9043109,230.1910336,46.061
"angiosperm","Nyctaginaceae","Mirabilis","Mirabilis_multiflora",301.496898,110.3611717,44.352
"angiosperm","Nyssaceae","Davidia","Davidia_involucrata",332.1978753,120.4587517,48.823
"angiosperm","Oleaceae","Ligustrum","Ligustrum_japonicum",310.919427,114.1157011,45.208
"angiosperm","Oxalidaceae","Oxalis","Oxalis_oregana",305.5508715,113.2702304,42.2
"angiosperm","Paeoniaceae","Paeonia","Paeonia_rockii",318.7435794,117.1141708,45.108
"angiosperm","Papaveraceae","Dicentra","Dicentra_formosa",260.0655048,94.75154661,45.536
"angiosperm","Pentaphylacaceae","Ternstroemia","Ternstroemia_gymnanthera",415.1055284,152.1039796,49.243
"angiosperm","Penthoraceae","Penthorum","Penthorum_sedoides",246.2022072,89.80090155,46.484
"angiosperm","Phrymaceae","Erythranthre","Erythranthre_guttata",278.1341046,103.4380948,40.821
"angiosperm","Phytolaccaceae","Phytolacca","Phytolacca_americana",466.5681094,172.1468957,47.099
"angiosperm","Pittosporaceae","Pittosporum","Pittosporum_truncatum",284.6361728,104.1838709,44.823
"angiosperm","Plantaginaceae","Veronica","Veronica_bachofenii",560.0503228,204.9295683,44.338
"angiosperm","Platanaceae","Platanus","Platanus_orientalis",342.1841598,125.1854047,47.034
"angiosperm","Plumbaginaceae","Ceratostigma","Ceratostigma_plumbaginoides",166.6474092,60.93764822,42.054
"angiosperm","Poaceae","Phyllostachys","Phyllostachys_aureosulcata",257.0141709,93.48320993,47.636
"angiosperm","Polemoniaceae","Polemonium","Polemonium_reptans",115.9825483,40.50702226,45.09
"angiosperm","Polygalaceae","Polygala","Polygala_chamaebuxus",188.7717915,68.5104843,43.218
"angiosperm","Polygonaceae","Bistorta","Bistorta_affinis",229.2556055,83.28519254,46.629
"angiosperm","Pontederiaceae","Pontederia","Pontederia_cordata",209.3932121,74.68250016,48.483
"angiosperm","Primulaceae","Primula","Primula_denticulata",303.9558334,112.2735732,45.688
